연번,시군명,업체명,소재지,사육업종,등록 또는 허가여부,데이터기준일자,매칭_상호,매칭_카테고리,매칭_지번주소,매칭_도로명주소,위도,경도
12,김제시,지평선목장,전북특별자치도 김제시 만경읍 장산리 ***번지  ,젖소,허가,2025-05-15,지평선목장,"쇼핑,유통>우유,유제품",전북특별자치도 김제시 만경읍 장산리 401,전북특별자치도 김제시 만경읍 대동길 41-24,35.8531593,126.8369004
13,김제시,토정농장,전북특별자치도 김제시 만경읍 화포리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
14,김제시,동원농장,전북특별자치도 김제시 만경읍 화포리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
15,김제시,동현농장,전북특별자치도 김제시 만경읍 화포리 ****번지 *호  ,한우,허가,2025-05-15,,,,,,
16,김제시,한민농장,전북특별자치도 김제시 만경읍 화포리 ***번지  ,한우,허가,2025-05-15,한민농장현장실습교육장,"여행,명소>관광농원,팜스테이",전북특별자치도 김제시 만경읍 화포리 547-1,전북특별자치도 김제시 만경읍 화포로 475,35.8825133,126.8114065
17,김제시,가족농장,전북특별자치도 김제시 만경읍 화포리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
18,김제시,라니농장,전북특별자치도 김제시 만경읍 장산리 ***번지  ,한우,허가,2025-05-15,,,,,,
19,김제시,화포농장,전북특별자치도 김제시 만경읍 화포리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
20,김제시,왕상사농장,전북특별자치도 김제시 만경읍 장산리 ****번지 *호  ,한우,허가,2025-05-15,,,,,,
21,김제시,진화농장,전북특별자치도 김제시 만경읍 만경리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
22,김제시,장흥농장,전북특별자치도 김제시 만경읍 화포리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
23,김제시,송상농장,전북특별자치도 김제시 만경읍 송상리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
24,김제시,몽포농장,전북특별자치도 김제시 만경읍 몽산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
25,김제시,성민농장,전북특별자치도 김제시 만경읍 몽산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
26,김제시,승남농장,전북특별자치도 김제시 만경읍 소토리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
27,김제시,왕희농장,"전북특별자치도 김제시 만경읍 몽산리 ***번지 *호 ,***-* ",한우,등록 ,2025-05-15,,,,,,
28,김제시,백옥자농장,전북특별자치도 김제시 만경읍 장산리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
29,김제시,현수농장,전북특별자치도 김제시 만경읍 화포리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
30,김제시,우복농장,전북특별자치도 김제시 만경읍 대동리 산 **번지  ,한우,등록 ,2025-05-15,,,,,,
31,김제시,동원농장,전북특별자치도 김제시 만경읍 화포리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
32,김제시,석인농장,전북특별자치도 김제시 만경읍 몽산리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
33,김제시,장산농장,전북특별자치도 김제시 만경읍 장산리 ****번지 *호 (****-*) ,한우,허가,2025-05-15,,,,,,
34,김제시,토람농장,전북특별자치도 김제시 만경읍 대동리 **번지 *호  ,한우,등록 ,2025-05-15,,,,,,
35,김제시,보람농장,"전북특별자치도 김제시 만경읍 장산리 ***번지 *호 (***, ***-*, ***-*) ",한우,허가,2025-05-15,,,,,,
36,김제시,대종축산,전북특별자치도 김제시 만경읍 몽산리 ***번지  ,한우,허가,2025-05-15,,,,,,
37,김제시,화포농장,전북특별자치도 김제시 만경읍 화포리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
38,김제시,으뜸농장,전북특별자치도 김제시 만경읍 몽산리 ***번지  ,한우,허가,2025-05-15,,,,,,
39,김제시,만경농장2,전북특별자치도 김제시 만경읍 장산리 ***번지 *호  ,한우,허가,2025-05-15,빡가네농장,농업>곡물재배,전북특별자치도 김제시 만경읍 몽산리 450-2,전북특별자치도 김제시 만경읍 몽산길 233,35.8662037,126.8071643
40,김제시,신성농장,전북특별자치도 김제시 만경읍 장산리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
41,김제시,몽포농장,전북특별자치도 김제시 만경읍 몽산리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
42,김제시,하리농장,전북특별자치도 김제시 만경읍 송상리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
43,김제시,유미농장,전북특별자치도 김제시 만경읍 화포리 ****번지 **호  ,한우,등록 ,2025-05-15,,,,,,
44,김제시,가린영농조합법인,전북특별자치도 김제시 죽산면 신흥리 ***번지 *호  ,돼지,허가,2025-05-15,가린영농조합법인,축산업>양돈업,전북특별자치도 김제시 죽산면 신흥리 651-1,전북특별자치도 김제시 죽산면 신흥로 93-15,35.75707,126.8210771
45,김제시,죽동농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 *호  ,사슴,등록 ,2025-05-15,,,,,,
46,김제시,원앙사슴농장,전북특별자치도 김제시 죽산면 종신리 ***번지  ,사슴,등록 ,2025-05-15,원앙사슴농장,"시설,건물>농공시설",전북특별자치도 김제시 죽산면 종신리 208-1,전북특별자치도 김제시 죽산면 복죽1길 61,35.8027126,126.8185338
47,김제시,수아사슴농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 *호 (***-*) ,사슴,등록 ,2025-05-15,석산수아사슴농장,"서비스,산업>축산업",전북특별자치도 김제시 죽산면 죽산리 783-1,전북특별자치도 김제시 죽산면 석산1길 52,35.784601,126.8066607
48,김제시,대진농장,"전북특별자치도 김제시 죽산면 홍산리 ***번지 *호 ***-*, ***-**, ***-**, ***-**, ***-** ",육계,허가,2025-05-15,,,,,,
49,김제시,쌍둥이농장,전북특별자치도 김제시 죽산면 신흥리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
50,김제시,보람농장,전북특별자치도 김제시 죽산면 대창리 ***번지  ,한우,허가,2025-05-15,,,,,,
51,김제시,능수목장,전북특별자치도 김제시 죽산면 연포리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
52,김제시,옥이농장,전북특별자치도 김제시 죽산면 서포리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
53,김제시,만기농장,전북특별자치도 김제시 죽산면 죽산리 ****번지 *호  ,한우,허가,2025-05-15,,,,,,
54,김제시,대선농장,전북특별자치도 김제시 죽산면 연포리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
55,김제시,죽산농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 **호  ,한우,등록 ,2025-05-15,구 하시모토농장사무실,"여행,명소>문화,유적",전북특별자치도 김제시 죽산면 죽산리 571-1,전북특별자치도 김제시 죽산면 죽산로 113-11,35.7690098,126.8138318
56,김제시,죽동농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
57,김제시,죽산농장,전북특별자치도 김제시 죽산면 죽산리 ****번지 *호  ,한우,허가,2025-05-15,구 하시모토농장사무실,"여행,명소>문화,유적",전북특별자치도 김제시 죽산면 죽산리 571-1,전북특별자치도 김제시 죽산면 죽산로 113-11,35.7690098,126.8138318
58,김제시,부성농장,"전북특별자치도 김제시 죽산면 연포리 **번지 *호 (***-*, ***-*) ",한우,허가,2025-05-15,,,,,,
59,김제시,용서농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
60,김제시,옥성농장,전북특별자치도 김제시 죽산면 옥성리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
61,김제시,죽산농장,전북특별자치도 김제시 죽산면 종신리 ***번지 **호  ,한우,등록 ,2025-05-15,원앙사슴농장,"시설,건물>농공시설",전북특별자치도 김제시 죽산면 종신리 208-1,전북특별자치도 김제시 죽산면 복죽1길 61,35.8027126,126.8185338
62,김제시,돌매농장,전북특별자치도 김제시 죽산면 죽산리 ****번지 *호  ,한우,등록 ,2025-05-15,,,,,,
63,김제시,신용농장,전북특별자치도 김제시 죽산면 서포리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
64,김제시,가나안농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
65,김제시,민수농장,전북특별자치도 김제시 죽산면 신흥리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
66,김제시,맥찬들한우영농조합법인,전북특별자치도 김제시 죽산면 연포리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
67,김제시,희망농장,전북특별자치도 김제시 죽산면 옥성리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
68,김제시,상옥농장,전북특별자치도 김제시 죽산면 죽산리 ****번지 *호 (****-*) ,한우,허가,2025-05-15,,,,,,
69,김제시,상옥농장2,전북특별자치도 김제시 죽산면 죽산리 ****번지 (****) ,한우,허가,2025-05-15,,,,,,
70,김제시,석산농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 *호  ,한우,허가,2025-05-15,석산수아사슴농장,"서비스,산업>축산업",전북특별자치도 김제시 죽산면 죽산리 783-1,전북특별자치도 김제시 죽산면 석산1길 52,35.784601,126.8066607
71,김제시,서포농장,전북특별자치도 김제시 죽산면 서포리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
72,김제시,형제농장,전북특별자치도 김제시 죽산면 대창리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
73,김제시,송종엽농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
74,김제시,남철농장,전북특별자치도 김제시 죽산면 신흥리 **번지 *호  ,한우,허가,2025-05-15,,,,,,
75,김제시,마포농장,전북특별자치도 김제시 죽산면 연포리 ***번지 **호 (***) ,한우,허가,2025-05-15,,,,,,
76,김제시,남문농장,전북특별자치도 김제시 죽산면 신흥리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
77,김제시,철민농장,전북특별자치도 김제시 죽산면 죽산리 ****번지 **호  ,한우,허가,2025-05-15,,,,,,
78,김제시,태훈농장,전북특별자치도 김제시 죽산면 신흥리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
79,김제시,남성축사,전북특별자치도 김제시 죽산면 종신리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
80,김제시,용진농장,전북특별자치도 김제시 죽산면 홍산리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
81,김제시,희망농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
82,김제시,에덴농장,전북특별자치도 김제시 죽산면 홍산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
83,김제시,해창농장,전북특별자치도 김제시 죽산면 대창리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
84,김제시,한우천영농조합,전북특별자치도 김제시 죽산면 옥성리 ****번지 *호  ,한우,등록 ,2025-05-15,,,,,,
85,김제시,신창농장,전북특별자치도 김제시 죽산면 서포리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
86,김제시,등불농장,전북특별자치도 김제시 죽산면 대창리 ***번지 *호 (***-*) ,한우,허가,2025-05-15,,,,,,
87,김제시,금강농장,전북특별자치도 김제시 죽산면 신흥리 **번지 *호  ,한우,등록 ,2025-05-15,,,,,,
88,김제시,신창농장,전북특별자치도 김제시 죽산면 서포리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
89,김제시,전주김제완주축협섬유질사료공장,전북특별자치도 김제시 죽산면 신흥리 ***번지 *호  ,한우,허가,2025-05-15,전주김제완주축협섬유질사료공장,제조업>동물사료제조,전북특별자치도 김제시 죽산면 신흥리 718-5,전북특별자치도 김제시 죽산면 신흥로 117,35.754646,126.8240166
90,김제시,정성농장,전북특별자치도 김제시 죽산면 홍산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
91,김제시,정진근농장,전북특별자치도 김제시 죽산면 연포리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
92,김제시,지우농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
93,김제시,해금농장,전북특별자치도 김제시 죽산면 죽산리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
94,김제시,광역농장,전북특별자치도 김제시 죽산면 홍산리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
95,김제시,우리농장1,"전북특별자치도 김제시 죽산면 죽산리 ****번지 (****-*, ****-*) ",한우,허가,2025-05-15,,,,,,
96,김제시,우리농장2,전북특별자치도 김제시 죽산면 죽산리 ****번지 *호  ,한우,허가,2025-05-15,,,,,,
97,김제시,백승농장,전북특별자치도 김제시 죽산면 죽산리 ****번지 *호  ,한우,허가,2025-05-15,,,,,,
98,김제시,은혜전원농장,전북특별자치도 김제시 백산면 하정리 ***번지 *호  ,돼지,등록 ,2025-05-15,,,,,,
99,김제시,성실농장,전북특별자치도 김제시 백산면 상리 ***번지 *호  ,돼지,등록 ,2025-05-15,,,,,,
100,김제시,하빈농장,전북특별자치도 김제시 백산면 하정리 ***번지 *호  ,돼지,허가,2025-05-15,,,,,,
101,김제시,동영농장,전북특별자치도 김제시 백산면 상리 ***번지 *호  ,돼지,등록 ,2025-05-15,,,,,,
102,김제시,우리농장,"전북특별자치도 김제시 백산면 조종리 ***번지 *호 (***-*, ***-*) ",돼지,허가,2025-05-15,,,,,,
103,김제시,청운농장,"전북특별자치도 김제시 백산면 조종리 ***번지 *호 ***-*, ***-*, ***-*, ***, ***-*, ***-*, ***-*, ***, ***-*, * **, ***-*, ***-*동 ",돼지,허가,2025-05-15,청운농장,"시설,건물>농공시설",전북특별자치도 김제시 백산면 조종리 324-3,전북특별자치도 김제시 백산면 대산로 17,35.8664361,126.880222
104,김제시,재평농장,"전북특별자치도 김제시 백산면 조종리 ***번지 **호 (***-**, ***-**, ***-**, ***-**, ***-**, ***-**) ",돼지,허가,2025-05-15,,,,,,
105,김제시,경원농장,"전북특별자치도 김제시 백산면 상리 ***번지 (***, ***) ",돼지,허가,2025-05-15,,,,,,
106,김제시,여장부(2농장),전북특별자치도 김제시 백산면 상리 ***번지  ,돼지,허가,2025-05-15,,,,,,
107,김제시,한국돼지유전자(K.P.G),전북특별자치도 김제시 백산면 수록리 ***번지 *호  ,돼지,허가,2025-05-15,,,,,,
108,김제시,백산농장,"전북특별자치도 김제시 백산면 상리 ***번지 *호 (***-*, ***-*) ",돼지,허가,2025-05-15,백산인삼,"쇼핑,유통>가공식품",전북특별자치도 김제시 백산면 하정리 145-1,전북특별자치도 김제시 백산면 학당길 129,35.8268499,126.8873851
109,김제시,돌제목장,전북특별자치도 김제시 백산면 상정리 ***번지 *호  ,돼지,등록 ,2025-05-15,,,,,,
110,김제시,장미네농장,전북특별자치도 김제시 백산면 상리 ***번지  ,돼지,허가,2025-05-15,장미네농장,"시설,건물>농공시설",전북특별자치도 김제시 백산면 상리 494-1,전북특별자치도 김제시 백산면 석정로 155-56,35.8477141,126.9261942
111,김제시,원강영농조합법인,전북특별자치도 김제시 백산면 조종리 ***번지 *호 (***-*) ,돼지,허가,2025-05-15,원강영농조합법인,축산업>양돈업,전북특별자치도 김제시 백산면 조종리 324-3,전북특별자치도 김제시 백산면 대산로 17,35.8665028,126.8802218
112,김제시,석준농장,전북특별자치도 김제시 백산면 상리 ***번지 *호  ,돼지,등록 ,2025-05-15,,,,,,
113,김제시,장호득농장,전북특별자치도 김제시 백산면 상리 ***번지  ,돼지,등록 ,2025-05-15,,,,,,
114,김제시,여장부(1농장),"전북특별자치도 김제시 백산면 상리 ***번지 *호 ***-*,***~*,***-*,***,***,***-*,***-*,***,***-**,***-*,***-* ",돼지,허가,2025-05-15,,,,,,
115,김제시,에덴농장,"전북특별자치도 김제시 백산면 상리 ***번지 *호 (***, ***-*, ***-*, ***) ",돼지,허가,2025-05-15,,,,,,
116,김제시,상서농장,전북특별자치도 김제시 백산면 상리 ***번지 *호  ,돼지,등록 ,2025-05-15,,,,,,
117,김제시,녹산농장,전북특별자치도 김제시 백산면 석교리 ***번지  ,사슴,등록 ,2025-05-15,,,,,,
118,김제시,영란농장,전북특별자치도 김제시 백산면 부거리 ***번지 *호  ,염소,등록 ,2025-05-15,,,,,,
119,김제시,대동태양광농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,염소,등록 ,2025-05-15,,,,,,
120,김제시,토종 닭 원조농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,육계,등록 ,2025-05-15,,,,,,
121,김제시,백산농장,전북특별자치도 김제시 백산면 수록리 ***번지 *호  ,육계,등록 ,2025-05-15,산뜰해농원,"시설,건물>농공시설",전북특별자치도 김제시 백산면 수록리 528-7,전북특별자치도 김제시 백산면 지평선산단로 194,35.8562722,126.8641506
122,김제시,산뜰해농장,"전북특별자치도 김제시 백산면 수록리 ***번지 *호 (***-*, ***-*, ***-*, ***, ***-*, ***-*, ***) ",육계,허가,2025-05-15,산뜰해농원,"시설,건물>농공시설",전북특별자치도 김제시 백산면 수록리 528-7,전북특별자치도 김제시 백산면 지평선산단로 194,35.8562722,126.8641506
123,김제시,석농장,전북특별자치도 김제시 백산면 수록리 ***번지 *호  ,육계,등록 ,2025-05-15,,,,,,
124,김제시,보원농장,전북특별자치도 김제시 백산면 상정리 ***번지 *호  ,육계,허가,2025-05-15,,,,,,
125,김제시,김제농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,육계,허가,2025-05-15,하림 김제농장,"시설,건물>농공시설",전북특별자치도 김제시 백산면 조종리 349-8,전북특별자치도 김제시 백산면 백산로 452,35.8621044,126.8839277
126,김제시,수호농장,전북특별자치도 김제시 백산면 수록리 ***번지 *호  ,육계,허가,2025-05-15,,,,,,
127,김제시,에이스농장,전북특별자치도 김제시 백산면 상리 ***번지 **호 (***-**) ,육계,허가,2025-05-15,,,,,,
128,김제시,낙원농장,전북특별자치도 김제시 백산면 상정리 ***번지 **호  ,육우,허가,2025-05-15,낙원농장,"시설,건물>농공시설",전북특별자치도 김제시 백구면 부용리 579-38,,35.883898,126.9529695
129,김제시,신안농장,전북특별자치도 김제시 백산면 조종리 *번지 *호  ,종계/산란계,등록 ,2025-05-15,,,,,,
130,김제시,사계절양계장,"전북특별자치도 김제시 백산면 상리 ***번지 *호 (***-*, ***-**) ",종계/산란계,허가,2025-05-15,,,,,,
131,김제시,복지농장,전북특별자치도 김제시 백산면 하정리 ***번지 **호  ,한우,등록 ,2025-05-15,,,,,,
132,김제시,대우농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호 -* ,한우,허가,2025-05-15,,,,,,
133,김제시,후석농장,"전북특별자치도 김제시 백산면 석교리 ***번지 *호 (***, ***-*, ***-**, ***-*, ***-*, ***-**) ",한우,허가,2025-05-15,,,,,,
134,김제시,강기창농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
135,김제시,엠지농장,전북특별자치도 김제시 백산면 하서리 ***번지  ,한우,허가,2025-05-15,,,,,,
136,김제시,준이네농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
137,김제시,성덕농장,전북특별자치도 김제시 백산면 하정리 산 ***번지 *호  ,한우,등록 ,2025-05-15,성덕농장,축산업>낙농업,전북특별자치도 김제시 성덕면 석동리 289-17 766-54,전북특별자치도 김제시 성덕면 해학로 766-54 766-54,35.8297847,126.8091787
138,김제시,동구농장,전북특별자치도 김제시 백산면 부거리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
139,김제시,신귀농장,전북특별자치도 김제시 백산면 부거리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
140,김제시,남산농장,전북특별자치도 김제시 백산면 하서리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
141,김제시,희금정,전북특별자치도 김제시 백산면 하서리 ***번지  ,한우,허가,2025-05-15,,,,,,
142,김제시,대성농장,"전북특별자치도 김제시 백산면 하서리 ***번지 (***-*, ***-*, ***-*, ***-**) ",한우,허가,2025-05-15,,,,,,
143,김제시,예스라농장,전북특별자치도 김제시 백산면 조종리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
144,김제시,윤용농장,전북특별자치도 김제시 백산면 조종리 ***번지  ,한우,등록 ,2025-05-15,,,,,,
145,김제시,부신농장,전북특별자치도 김제시 백산면 부거리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
146,김제시,재문농장,전북특별자치도 김제시 백산면 석교리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
147,김제시,기원농장,전북특별자치도 김제시 백산면 석교리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
148,김제시,정호농장,전북특별자치도 김제시 백산면 조종리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
149,김제시,장옥농장,전북특별자치도 김제시 백산면 조종리 ***번지  ,한우,허가,2025-05-15,,,,,,
150,김제시,준석농장,전북특별자치도 김제시 백산면 수록리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
151,김제시,후남농장,전북특별자치도 김제시 백산면 하서리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
152,김제시,후석농장,전북특별자치도 김제시 백산면 석교리 ***번지  ,한우,허가,2025-05-15,,,,,,
153,김제시,한가족농장,전북특별자치도 김제시 백산면 하서리 *번지 (*) ,한우,허가,2025-05-15,,,,,,
154,김제시,주호농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
155,김제시,태환농장,전북특별자치도 김제시 백산면 석교리 ***번지 *호 (***-*) ,한우,허가,2025-05-15,,,,,,
156,김제시,태환농장,전북특별자치도 김제시 백산면 석교리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
157,김제시,은용농장,전북특별자치도 김제시 백산면 석교리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
158,김제시,우리농장,전북특별자치도 김제시 백산면 석교리 ***번지  ,한우,허가,2025-05-15,,,,,,
159,김제시,돈배농장,전북특별자치도 김제시 백산면 석교리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
160,김제시,관망대한우법인,전북특별자치도 김제시 백산면 상정리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
161,김제시,낙원농장,전북특별자치도 김제시 백산면 상정리 산 **번지 *호  ,한우,등록 ,2025-05-15,낙원농장,"시설,건물>농공시설",전북특별자치도 김제시 백구면 부용리 579-38,,35.883898,126.9529695
162,김제시,성수농장,전북특별자치도 김제시 백산면 조종리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
163,김제시,김덕농장,전북특별자치도 김제시 백산면 하정리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
164,김제시,신흥축산,전북특별자치도 김제시 백산면 상리 ***번지  ,한우,허가,2025-05-15,,,,,,
165,김제시,자학농장,전북특별자치도 김제시 백산면 상리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
166,김제시,봉실축산,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,한우,등록 ,2025-05-15,,,,,,
167,김제시,김영상농장,전북특별자치도 김제시 백산면 상리 ***번지 *호 ***-* ,한우,허가,2025-05-15,,,,,,
168,김제시,원조농장,전북특별자치도 김제시 백산면 조종리 ***번지 **호 (***-**) ,한우,허가,2025-05-15,,,,,,
169,김제시,정호농장,전북특별자치도 김제시 백산면 조종리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
170,김제시,금화농장,전북특별자치도 김제시 백산면 석교리 ***번지  ,한우,허가,2025-05-15,,,,,,
171,김제시,일승농장,전북특별자치도 김제시 백산면 조종리 ***번지 (***-*) ,한우,허가,2025-05-15,,,,,,
172,김제시,행운농장,전북특별자치도 김제시 백산면 상리 ***번지  ,한우,허가,2025-05-15,행운농장,"쇼핑,유통>과일",전북특별자치도 김제시 흥사동 82-1,전북특별자치도 김제시 승반길 186,35.8260448,126.9081476
173,김제시,이리한우농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
174,김제시,순박2농장,    ,한우,허가,2025-05-15,,,,,,
175,김제시,중식농장,전북특별자치도 김제시 백산면 수록리 **번지  ,한우,등록 ,2025-05-15,,,,,,
176,김제시,성흠농장,전북특별자치도 김제시 백산면 하서리 ***번지  ,한우,허가,2025-05-15,,,,,,
177,김제시,남수농장,"전북특별자치도 김제시 백산면 석교리 ***번지 **호 (***-**, ***-**) ",한우,허가,2025-05-15,,,,,,
178,김제시,백조한우농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
179,김제시,백조농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호 ***-* ,한우,허가,2025-05-15,,,,,,
180,김제시,대지농장,전북특별자치도 김제시 백산면 석교리 ***번지 *호  ,한우,허가,2025-05-15,,,,,,
181,김제시,한덕농장,전북특별자치도 김제시 백산면 조종리 ***번지 *호  ,한우,허가,2025-05-15,한덕농장,"서비스,산업>축산업",전북특별자치도 김제시 백산면 조종리 545-2,전북특별자치도 김제시 백산면 조종로 179,35.8618568,126.8976059
182,김제시,거성농장,전북특별자치도 김제시 백산면 수록리 ***번지  ,한우,허가,2025-05-15,,,,,,
183,김제시,하정농장,전북특별자치도 김제시 백산면 하정리 ***번지 **호  ,한우,허가,2025-05-15,,,,,,
184,김제시,행복한농장,전북특별자치도 김제시 백산면 상리 ***번지 (***-*번지) ,한우,허가,2025-05-15,행복한농장,"축산업>가금류,조류사육",전북특별자치도 김제시 용지면 장신리 354-17,전북특별자치도 김제시 용지면 금백로 1016-1,35.8598699,126.9922331
