순번,시군구명,업체명,소재지,주사육업종,데이터기준일
34,완주군,광희 농가,전북특별자치도 완주군 삼례읍,돼지,2025-01-23
35,완주군,고산 메추리농장,전북특별자치도 완주군 고산면,메추리,2025-01-23
36,완주군,미소축산 농업회사법인 주식회사,전북특별자치도 완주군 고산면,메추리,2025-01-23
37,완주군,철준사슴목장,전북특별자치도 완주군 소양면,사슴,2025-01-23
38,완주군,철준사슴목장 2,전북특별자치도 완주군 소양면,사슴,2025-01-23
39,완주군,한호사슴농장,전북특별자치도 완주군 상관면,사슴,2025-01-23
40,완주군,성수사슴농장,전북특별자치도 완주군 구이면,사슴,2025-01-23
41,완주군,백년사슴,전북특별자치도 완주군 소양면,사슴,2025-01-23
42,완주군,연석산농장,전북특별자치도 완주군 동상면,"사슴, 염소",2025-01-23
43,완주군,토종농장,전북특별자치도 완주군 비봉면,산양,2025-01-23
44,완주군,청년 베리팜,전북특별자치도 완주군 비봉면,산양,2025-01-23
45,완주군,김상중농장,전북특별자치도 완주군 화산면,산양,2025-01-23
46,완주군,구광회농장,전북특별자치도 완주군 화산면,산양,2025-01-23
47,완주군,민들레동산영농조합 화산점,전북특별자치도 완주군 화산면,산양,2025-01-23
48,완주군,요한농장,전북특별자치도 완주군 고산면,산양,2025-01-23
49,완주군,기자농장,전북특별자치도 완주군 화산면,염소,2025-01-23
50,완주군,호성축산,전북특별자치도 완주군 고산면,염소,2025-01-23
51,완주군,원심흑염소농장,전북특별자치도 완주군 비봉면,염소,2025-01-23
52,완주군,대둔산관광농원 염소농장,전북특별자치도 완주군 운주면,염소,2025-01-23
53,완주군,곤동농장,전북특별자치도 완주군 비봉면,염소,2025-01-23
54,완주군,부자농장,전북특별자치도 완주군 고산면,염소,2025-01-23
55,완주군,현이농장,전북특별자치도 완주군 화산면,염소,2025-01-23
56,완주군,문홍섭 농장,전북특별자치도 완주군 화산면,염소,2025-01-23
57,완주군,평원농장,전북특별자치도 완주군 비봉면,염소,2025-01-23
58,완주군,모악농장,전북특별자치도 완주군 상관면,염소,2025-01-23
59,완주군,두연농장,전북특별자치도 완주군 소양면,염소,2025-01-23
60,완주군,구광회농장 2,전북특별자치도 완주군 화산면,염소,2025-01-23
61,완주군,영구축산,전북특별자치도 완주군 봉동읍,염소,2025-01-23
62,완주군,유진농장,전북특별자치도 완주군 화산면,염소,2025-01-23
63,완주군,최강자농장,전북특별자치도 완주군 용진읍,염소,2025-01-23
64,완주군,화월농장 2,전북특별자치도 완주군 화산면,육계,2025-01-23
65,완주군,하늘농장,전북특별자치도 완주군 구이면,육계,2025-01-23
66,완주군,고산농장,전북특별자치도 완주군 고산면,육계,2025-01-23
67,완주군,송명순농장,전북특별자치도 완주군 고산면,육계,2025-01-23
68,완주군,장봉기농장,전북특별자치도 완주군 고산면,육계,2025-01-23
69,완주군,태경농장,전북특별자치도 완주군 화산면,육계,2025-01-23
70,완주군,엘지농원,전북특별자치도 완주군 화산면,육계,2025-01-23
71,완주군,운산농장,전북특별자치도 완주군 화산면,육계,2025-01-23
72,완주군,미남농장 (육계),전북특별자치도 완주군 화산면,육계,2025-01-23
73,완주군,임영복농장,전북특별자치도 완주군 화산면,육계,2025-01-23
74,완주군,로또농장,전북특별자치도 완주군 비봉면,육계,2025-01-23
75,완주군,화심양계농장,전북특별자치도 완주군 소양면,육계,2025-01-23
76,완주군,박철균농장,전북특별자치도 완주군 용진읍,육계,2025-01-23
77,완주군,수앤옥농장,전북특별자치도 완주군 구이면,육계,2025-01-23
78,완주군,야곱농장,전북특별자치도 완주군 화산면,육계,2025-01-23
79,완주군,강 훈 농장,전북특별자치도 완주군 구이면,육계,2025-01-23
80,완주군,동부농장,전북특별자치도 완주군 동상면,육계,2025-01-23
81,완주군,온새미로,전북특별자치도 완주군 이서면,육계,2025-01-23
82,완주군,박영호농장,전북특별자치도 완주군 비봉면,육계,2025-01-23
83,완주군,흥일농장,전북특별자치도 완주군 소양면,육계,2025-01-23
84,완주군,샬롬농장,전북특별자치도 완주군 비봉면,육계,2025-01-23
85,완주군,수청농장,전북특별자치도 완주군 운주면,육계,2025-01-23
86,완주군,이미숙농장,전북특별자치도 완주군 상관면,육계,2025-01-23
87,완주군,김용선 농장,전북특별자치도 완주군 삼례읍,육계,2025-01-23
88,완주군,효천농장,전북특별자치도 완주군 고산면,육계,2025-01-23
89,완주군,두메농장,전북특별자치도 완주군 고산면,육계,2025-01-23
90,완주군,요제농장,전북특별자치도 완주군 소양면,육계,2025-01-23
91,완주군,크로바 농장 1,전북특별자치도 완주군 화산면,육계,2025-01-23
92,완주군,송원농장,전북특별자치도 완주군 운주면,육계,2025-01-23
93,완주군,축복 농장,전북특별자치도 완주군 화산면,육계,2025-01-23
94,완주군,꼬꼬농장,전북특별자치도 완주군 화산면,육계,2025-01-23
95,완주군,금선농장,전북특별자치도 완주군 봉동읍,육계,2025-01-23
96,완주군,해뜨는농장,전북특별자치도 완주군 동상면,육계,2025-01-23
97,완주군,정해권농장,전북특별자치도 완주군 봉동읍,육계,2025-01-23
98,완주군,크로바농장 2,전북특별자치도 완주군 화산면,육계,2025-01-23
99,완주군,크로바농장 3,전북특별자치도 완주군 화산면,육계,2025-01-23
100,완주군,드림꽃사슴,전북특별자치도 완주군 이서면,"육계, 사슴",2025-01-23
101,완주군,달뱅이농장,전북특별자치도 완주군 용진읍,"육계, 오리",2025-01-23
102,완주군,미래농장,전북특별자치도 완주군 이서면,육용오리,2025-01-23
103,완주군,마수목장,전북특별자치도 완주군 소양면,육우,2025-01-23
104,완주군,대명축산,전북특별자치도 완주군 구이면,육우,2025-01-23
105,완주군,고산목장2,전북특별자치도 완주군 고산면,육우,2025-01-23
106,완주군,수아목장,전북특별자치도 완주군 봉동읍,육우,2025-01-23
107,완주군,베드로목장2,전북특별자치도 완주군 비봉면,육우,2025-01-23
108,완주군,샘물농장 2,전북특별자치도 완주군 봉동읍,육우,2025-01-23
109,완주군,대명농장,전북특별자치도 완주군 화산면,젖소,2025-01-23
110,완주군,고산농장,전북특별자치도 완주군 고산면,젖소,2025-01-23
111,완주군,오세열농장,전북특별자치도 완주군 소양면,젖소,2025-01-23
112,완주군,최영림농장,전북특별자치도 완주군 소양면,젖소,2025-01-23
113,완주군,로뎀 농장,전북특별자치도 완주군 소양면,젖소,2025-01-23
114,완주군,다민목장,전북특별자치도 완주군 소양면,젖소,2025-01-23
115,완주군,대광목장,전북특별자치도 완주군 이서면,젖소,2025-01-23
116,완주군,호정농장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
117,완주군,베드로목장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
118,완주군,김대용목장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
119,완주군,별목장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
120,완주군,장원목장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
121,완주군,한승농장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
122,완주군,하유경농장,전북특별자치도 완주군 봉동읍,젖소,2025-01-23
123,완주군,샘물목장,전북특별자치도 완주군 봉동읍,젖소,2025-01-23
124,완주군,정동목장,전북특별자치도 완주군 봉동읍,젖소,2025-01-23
125,완주군,호원농장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
126,완주군,임재웅농장,전북특별자치도 완주군 소양면,젖소,2025-01-23
127,완주군,이원흥 농장,전북특별자치도 완주군 용진읍,젖소,2025-01-23
128,완주군,박은출 농장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
129,완주군,태양목장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
130,완주군,우리목장,전북특별자치도 완주군 소양면,젖소,2025-01-23
131,완주군,봉실농장,전북특별자치도 완주군 비봉면,젖소,2025-01-23
132,완주군,행복농장,전북특별자치도 완주군 경천면,종계/산란계,2025-01-23
133,완주군,경각산유정란,전북특별자치도 완주군 구이면,종계/산란계,2025-01-23
134,완주군,농업회사법인(주)지산씨엔에프,전북특별자치도 완주군 이서면,종계/산란계,2025-01-23
135,완주군,기독교농촌개발원,전북특별자치도 완주군 이서면,종계/산란계,2025-01-23
136,완주군,자띠골농원,전북특별자치도 완주군 용진읍,종계/산란계,2025-01-23
137,완주군,행운유정란,전북특별자치도 완주군 용진읍,종계/산란계,2025-01-23
138,완주군,참조은농장,전북특별자치도 완주군 용진읍,종계/산란계,2025-01-23
139,완주군,승우농장,전북특별자치도 완주군 화산면,한우,2025-01-23
140,완주군,행복한 한우농장,전북특별자치도 완주군 구이면,한우,2025-01-23
141,완주군,사랑과 기쁨,전북특별자치도 완주군 고산면,한우,2025-01-23
142,완주군,성정애농장,전북특별자치도 완주군 고산면,한우,2025-01-23
143,완주군,강금자농장,전북특별자치도 완주군 고산면,한우,2025-01-23
144,완주군,남관동물농장,전북특별자치도 완주군 상관면,한우,2025-01-23
145,완주군,박종석농장,전북특별자치도 완주군 화산면,한우,2025-01-23
146,완주군,이창재농장,전북특별자치도 완주군 화산면,한우,2025-01-23
147,완주군,천우농장,전북특별자치도 완주군 화산면,한우,2025-01-23
148,완주군,김덕희농장,전북특별자치도 완주군 화산면,한우,2025-01-23
149,완주군,다라니농장,전북특별자치도 완주군 화산면,한우,2025-01-23
150,완주군,채범석농장,전북특별자치도 완주군 화산면,한우,2025-01-23
151,완주군,강석승농장,전북특별자치도 완주군 화산면,한우,2025-01-23
152,완주군,다두농장,전북특별자치도 완주군 화산면,한우,2025-01-23
153,완주군,곽영민농장,전북특별자치도 완주군 화산면,한우,2025-01-23
154,완주군,박태수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
155,완주군,청정농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
156,완주군,박성기 농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
157,완주군,이성구농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
158,완주군,문장농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
159,완주군,정병문농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
160,완주군,국완호농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
161,완주군,임영순 농장 1,전북특별자치도 완주군 고산면,한우,2025-01-23
162,완주군,서정기농장,전북특별자치도 완주군 고산면,한우,2025-01-23
163,완주군,안골농장,전북특별자치도 완주군 화산면,한우,2025-01-23
164,완주군,한우농장,전북특별자치도 완주군 화산면,한우,2025-01-23
165,완주군,소두러니 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
166,완주군,희택농장,전북특별자치도 완주군 화산면,한우,2025-01-23
167,완주군,가마재 소우리,전북특별자치도 완주군 화산면,한우,2025-01-23
168,완주군,이정수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
169,완주군,이성수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
170,완주군,오광순농장,전북특별자치도 완주군 화산면,한우,2025-01-23
171,완주군,오광열농장,전북특별자치도 완주군 화산면,한우,2025-01-23
172,완주군,이원자농장,전북특별자치도 완주군 화산면,한우,2025-01-23
173,완주군,임석현농장,전북특별자치도 완주군 화산면,한우,2025-01-23
174,완주군,장치혁농장,전북특별자치도 완주군 화산면,한우,2025-01-23
175,완주군,임일택농장,전북특별자치도 완주군 고산면,한우,2025-01-23
176,완주군,해전농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
177,완주군,유훈희농장,전북특별자치도 완주군 봉동읍,한우,2025-01-23
178,완주군,조계순농장,전북특별자치도 완주군 고산면,한우,2025-01-23
179,완주군,오현홍농장,전북특별자치도 완주군 고산면,한우,2025-01-23
180,완주군,조종필농장,전북특별자치도 완주군 화산면,한우,2025-01-23
181,완주군,수영농장,전북특별자치도 완주군 화산면,한우,2025-01-23
182,완주군,박영석농장,전북특별자치도 완주군 화산면,한우,2025-01-23
183,완주군,상호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
184,완주군,행복농장 1,전북특별자치도 완주군 화산면,한우,2025-01-23
185,완주군,임완규농장,전북특별자치도 완주군 화산면,한우,2025-01-23
186,완주군,방골농장,전북특별자치도 완주군 화산면,한우,2025-01-23
187,완주군,석천농장,전북특별자치도 완주군 화산면,한우,2025-01-23
188,완주군,장중화농장,전북특별자치도 완주군 화산면,한우,2025-01-23
189,완주군,유상준농장,전북특별자치도 완주군 화산면,한우,2025-01-23
190,완주군,대평농장,전북특별자치도 완주군 화산면,한우,2025-01-23
191,완주군,임영택농장,전북특별자치도 완주군 화산면,한우,2025-01-23
192,완주군,양점수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
193,완주군,한성일농장,전북특별자치도 완주군 화산면,한우,2025-01-23
194,완주군,한기창농장,전북특별자치도 완주군 화산면,한우,2025-01-23
195,완주군,한성율농장,전북특별자치도 완주군 화산면,한우,2025-01-23
196,완주군,대건농장,전북특별자치도 완주군 화산면,한우,2025-01-23
197,완주군,유길주농장,전북특별자치도 완주군 화산면,한우,2025-01-23
198,완주군,임마누엘농장,전북특별자치도 완주군 화산면,한우,2025-01-23
199,완주군,전유덕농장,전북특별자치도 완주군 화산면,한우,2025-01-23
200,완주군,창화농장2,전북특별자치도 완주군 화산면,한우,2025-01-23
201,완주군,수선 청정농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
202,완주군,원수선농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
203,완주군,덕선농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
204,완주군,최병용농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
205,완주군,유희관농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
206,완주군,천호농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
207,완주군,사랑농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
208,완주군,국민수농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
209,완주군,김동언농장,전북특별자치도 완주군 운주면,한우,2025-01-23
210,완주군,송기수농장,전북특별자치도 완주군 고산면,한우,2025-01-23
211,완주군,정재봉농장,전북특별자치도 완주군 고산면,한우,2025-01-23
212,완주군,신기축산,전북특별자치도 완주군 고산면,한우,2025-01-23
213,완주군,태산농장,전북특별자치도 완주군 고산면,한우,2025-01-23
214,완주군,한율농장,전북특별자치도 완주군 고산면,한우,2025-01-23
215,완주군,정관석농장,전북특별자치도 완주군 고산면,한우,2025-01-23
216,완주군,동지농장,전북특별자치도 완주군 고산면,한우,2025-01-23
217,완주군,김재화농장,전북특별자치도 완주군 고산면,한우,2025-01-23
218,완주군,조방희농장,전북특별자치도 완주군 고산면,한우,2025-01-23
219,완주군,김영범농장,전북특별자치도 완주군 고산면,한우,2025-01-23
220,완주군,박길수농장,전북특별자치도 완주군 고산면,한우,2025-01-23
221,완주군,김재윤농장,전북특별자치도 완주군 고산면,한우,2025-01-23
222,완주군,김학렬농장,전북특별자치도 완주군 고산면,한우,2025-01-23
223,완주군,최성훈농장,전북특별자치도 완주군 고산면,한우,2025-01-23
224,완주군,서강원농장,전북특별자치도 완주군 고산면,한우,2025-01-23
225,완주군,권준하농장,전북특별자치도 완주군 고산면,한우,2025-01-23
226,완주군,에벤에셀농장,전북특별자치도 완주군 고산면,한우,2025-01-23
227,완주군,들녘한우,전북특별자치도 완주군 고산면,한우,2025-01-23
228,완주군,우리농장,전북특별자치도 완주군 고산면,한우,2025-01-23
229,완주군,정영춘농장,전북특별자치도 완주군 고산면,한우,2025-01-23
230,완주군,김병옥농장,전북특별자치도 완주군 고산면,한우,2025-01-23
231,완주군,형제농장,전북특별자치도 완주군 고산면,한우,2025-01-23
232,완주군,김한수농장,전북특별자치도 완주군 고산면,한우,2025-01-23
233,완주군,화산골 힐링 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
234,완주군,김욱태농장,전북특별자치도 완주군 화산면,한우,2025-01-23
235,완주군,한우물농장,전북특별자치도 완주군 화산면,한우,2025-01-23
236,완주군,명진농장,전북특별자치도 완주군 화산면,한우,2025-01-23
237,완주군,장금복농장,전북특별자치도 완주군 화산면,한우,2025-01-23
238,완주군,김용범농장,전북특별자치도 완주군 화산면,한우,2025-01-23
239,완주군,김점태농장,전북특별자치도 완주군 화산면,한우,2025-01-23
240,완주군,남승민농장,전북특별자치도 완주군 화산면,한우,2025-01-23
241,완주군,산들맘농장2,전북특별자치도 완주군 화산면,한우,2025-01-23
242,완주군,국헌호농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
243,완주군,유홍석농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
244,완주군,이한형농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
245,완주군,유재연농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
246,완주군,유희래농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
247,완주군,비봉목장,전북특별자치도 완주군 비봉면,한우,2025-01-23
248,완주군,박경무농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
249,완주군,호남농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
250,완주군,해오름 농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
251,완주군,정봉락농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
252,완주군,정윤한우목장,전북특별자치도 완주군 이서면,한우,2025-01-23
253,완주군,국희농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
254,완주군,박광배농장,전북특별자치도 완주군 구이면,한우,2025-01-23
255,완주군,에덴농장,전북특별자치도 완주군 화산면,한우,2025-01-23
256,완주군,박기철농장,전북특별자치도 완주군 구이면,한우,2025-01-23
257,완주군,고덕목장,전북특별자치도 완주군 구이면,한우,2025-01-23
258,완주군,형제농장 3,전북특별자치도 완주군 상관면,한우,2025-01-23
259,완주군,진선목장,전북특별자치도 완주군 소양면,한우,2025-01-23
260,완주군,김정언농장,전북특별자치도 완주군 소양면,한우,2025-01-23
261,완주군,이대원농장,전북특별자치도 완주군 고산면,한우,2025-01-23
262,완주군,신포농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
263,완주군,지동농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
264,완주군,이영구농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
265,완주군,OK농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
266,완주군,용복 한우농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
267,완주군,권원택농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
268,완주군,송세영농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
269,완주군,대호한우,전북특별자치도 완주군 고산면,한우,2025-01-23
270,완주군,유민오농장,전북특별자치도 완주군 화산면,한우,2025-01-23
271,완주군,명곡목장,전북특별자치도 완주군 비봉면,한우,2025-01-23
272,완주군,국운호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
273,완주군,서은기농장,전북특별자치도 완주군 화산면,한우,2025-01-23
274,완주군,유만준농장,전북특별자치도 완주군 화산면,한우,2025-01-23
275,완주군,박강재농장,전북특별자치도 완주군 화산면,한우,2025-01-23
276,완주군,김중배농장 2,전북특별자치도 완주군 화산면,한우,2025-01-23
277,완주군,김문태농장,전북특별자치도 완주군 화산면,한우,2025-01-23
278,완주군,배명찬농장,전북특별자치도 완주군 화산면,한우,2025-01-23
279,완주군,이미순농장,전북특별자치도 완주군 화산면,한우,2025-01-23
280,완주군,배재문 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
281,완주군,김영대농장,전북특별자치도 완주군 화산면,한우,2025-01-23
282,완주군,감나무골농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
283,완주군,사랑농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
284,완주군,김태선농장,전북특별자치도 완주군 화산면,한우,2025-01-23
285,완주군,김정남농장,전북특별자치도 완주군 화산면,한우,2025-01-23
286,완주군,백남윤농장,전북특별자치도 완주군 화산면,한우,2025-01-23
287,완주군,강성구농장,전북특별자치도 완주군 화산면,한우,2025-01-23
288,완주군,김광연 농장,전북특별자치도 완주군 화산면,한우,2025-01-23
289,완주군,태양축산,전북특별자치도 완주군 고산면,한우,2025-01-23
290,완주군,김종배농장,전북특별자치도 완주군 이서면,한우,2025-01-23
291,완주군,금강농장,전북특별자치도 완주군 경천면,한우,2025-01-23
292,완주군,김태희농장,전북특별자치도 완주군 화산면,한우,2025-01-23
293,완주군,화산농장2,전북특별자치도 완주군 비봉면,한우,2025-01-23
294,완주군,이진철농장,전북특별자치도 완주군 화산면,한우,2025-01-23
295,완주군,최덕환농장,전북특별자치도 완주군 화산면,한우,2025-01-23
296,완주군,국경호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
297,완주군,권덕남농장투,전북특별자치도 완주군 화산면,한우,2025-01-23
298,완주군,최화식농장,전북특별자치도 완주군 화산면,한우,2025-01-23
299,완주군,임선규농장,전북특별자치도 완주군 화산면,한우,2025-01-23
300,완주군,화산농장 1,전북특별자치도 완주군 화산면,한우,2025-01-23
301,완주군,최부선농장,전북특별자치도 완주군 화산면,한우,2025-01-23
302,완주군,유용준농장,전북특별자치도 완주군 화산면,한우,2025-01-23
303,완주군,유항준목장,전북특별자치도 완주군 화산면,한우,2025-01-23
304,완주군,재승농장,전북특별자치도 완주군 화산면,한우,2025-01-23
305,완주군,유복선농장,전북특별자치도 완주군 화산면,한우,2025-01-23
306,완주군,김명곤농장 1,전북특별자치도 완주군 화산면,한우,2025-01-23
307,완주군,장금호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
308,완주군,천석농장,전북특별자치도 완주군 화산면,한우,2025-01-23
309,완주군,노천호농장,전북특별자치도 완주군 화산면,한우,2025-01-23
310,완주군,채규욱농장,전북특별자치도 완주군 화산면,한우,2025-01-23
311,완주군,호반 농장,전북특별자치도 완주군 고산면,한우,2025-01-23
312,완주군,정수득농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
313,완주군,구순여농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
314,완주군,장완자농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
315,완주군,권대원농장,전북특별자치도 완주군 화산면,한우,2025-01-23
316,완주군,조재준농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
317,완주군,박병일농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
318,완주군,임재옥농장,전북특별자치도 완주군 이서면,한우,2025-01-23
319,완주군,오현용농장,전북특별자치도 완주군 화산면,한우,2025-01-23
320,완주군,정승철농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
321,완주군,국진환농장,전북특별자치도 완주군 화산면,한우,2025-01-23
322,완주군,구준회농장,전북특별자치도 완주군 화산면,한우,2025-01-23
323,완주군,반석목장,전북특별자치도 완주군 화산면,한우,2025-01-23
324,완주군,임대빈 농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
325,완주군,최대운농장,전북특별자치도 완주군 봉동읍,한우,2025-01-23
326,완주군,국운호농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
327,완주군,화산골농장,전북특별자치도 완주군 화산면,한우,2025-01-23
328,완주군,홍남귀농장,전북특별자치도 완주군 화산면,한우,2025-01-23
329,완주군,죽림농장,전북특별자치도 완주군 고산면,한우,2025-01-23
330,완주군,백장현농장,전북특별자치도 완주군 화산면,한우,2025-01-23
331,완주군,유운장농장,전북특별자치도 완주군 화산면,한우,2025-01-23
332,완주군,민경관농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
333,완주군,장중은농장,전북특별자치도 완주군 화산면,한우,2025-01-23
334,완주군,박승배농장,전북특별자치도 완주군 화산면,한우,2025-01-23
335,완주군,박규순농장,전북특별자치도 완주군 화산면,한우,2025-01-23
336,완주군,여금농장,전북특별자치도 완주군 고산면,한우,2025-01-23
337,완주군,영진목장,전북특별자치도 완주군 화산면,한우,2025-01-23
338,완주군,서살리농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
339,완주군,대상농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
340,완주군,김종길농장 3,전북특별자치도 완주군 용진읍,한우,2025-01-23
341,완주군,순지농장,전북특별자치도 완주군 용진읍,한우,2025-01-23
342,완주군,권덕남농장,전북특별자치도 완주군 화산면,한우,2025-01-23
343,완주군,정주영농장,전북특별자치도 완주군 고산면,한우,2025-01-23
344,완주군,세영농장,전북특별자치도 완주군 화산면,한우,2025-01-23
345,완주군,양승만농장,전북특별자치도 완주군 화산면,한우,2025-01-23
346,완주군,홍정란농장,전북특별자치도 완주군 화산면,한우,2025-01-23
347,완주군,국원호농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
348,완주군,정근중농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
349,완주군,대광농장,전북특별자치도 완주군 고산면,한우,2025-01-23
350,완주군,해피농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
351,완주군,문수농장,전북특별자치도 완주군 화산면,한우,2025-01-23
352,완주군,조정천농장,전북특별자치도 완주군 비봉면,한우,2025-01-23
353,완주군,깨끗한농장,전북특별자치도 완주군 화산면,한우,2025-01-23
354,완주군,노성숙농장,전북특별자치도 완주군 화산면,한우,2025-01-23
355,완주군,김선배농장,전북특별자치도 완주군 상관면,한우,2025-01-23
356,완주군,정명호농장,전북특별자치도 완주군 삼례읍,한우,2025-01-23
357,완주군,조준호농장,전북특별자치도 완주군 고산면,한우,2025-01-23
