瘤痢,瘤痢疙,老矫,扁柯(∑C),浅氢(deg),浅加(m/s),碍荐樊(mm),泅瘤扁拘(hPa),秦搁扁拘(hPa),嚼档(%)
702,劳魂,2026-01-05 18:00,1.3,298.3,4.8,0,1021.7,1023.1,43
702,劳魂,2026-01-05 19:00,.1,335.8,2.9,0,1022.8,1024.2,46
702,劳魂,2026-01-05 20:00,-.8,310.8,1.4,0,1023.4,1024.8,46
702,劳魂,2026-01-05 21:00,-2.7,20.4,.7,0,1023.7,1025.1,62
702,劳魂,2026-01-05 22:00,-4.3,0,0,0,1023.9,1025.3,73
702,劳魂,2026-01-05 23:00,-4.8,0,0,0,1024.3,1025.7,80
702,劳魂,2026-01-06 00:00,-5.8,0,0,0,1024.2,1025.6,82
702,劳魂,2026-01-06 01:00,-5.7,86.3,.9,0,1024.1,1025.5,73
702,劳魂,2026-01-06 02:00,-6.3,0,.1,0,1024.3,1025.7,83
702,劳魂,2026-01-06 03:00,-6.6,0,0,0,1024.7,1026.1,86
702,劳魂,2026-01-06 04:00,-7.3,0,0,0,1024.6,1026,84
702,劳魂,2026-01-06 05:00,-7.8,0,.2,0,1024.5,1025.9,88
702,劳魂,2026-01-06 06:00,-8,0,0,0,1024.4,1025.8,89
702,劳魂,2026-01-06 07:00,-7.9,0,0,0,1024.8,1026.2,89
702,劳魂,2026-01-06 08:00,-7.9,0,0,0,1024.7,1026.1,88
702,劳魂,2026-01-06 09:00,-5.2,0,0,0,1024.5,1025.9,80
702,劳魂,2026-01-06 10:00,-2.7,72.1,1.7,0,1024.1,1025.5,73
702,劳魂,2026-01-06 11:00,-.2,125.2,1.1,0,1023.9,1025.3,63
702,劳魂,2026-01-06 12:00,1.8,197.1,1.3,0,1023,1024.4,52
702,劳魂,2026-01-06 13:00,2.7,346.5,2.5,0,1021.9,1023.3,47
702,劳魂,2026-01-06 14:00,3.4,301.6,2.7,0,1021.2,1022.6,43
702,劳魂,2026-01-06 15:00,3.8,335,2.5,0,1021,1022.4,34
702,劳魂,2026-01-06 16:00,3.9,250.5,3.1,0,1020.9,1022.3,48
702,劳魂,2026-01-06 17:00,2.4,221.4,1.8,0,1020.6,1022,60
702,劳魂,2026-01-06 18:00,1.5,203.6,1.9,0,1020.3,1021.7,66
702,劳魂,2026-01-06 19:00,-.3,0,0,0,1020.4,1021.8,76
702,劳魂,2026-01-06 20:00,-.8,96.7,.6,0,1020.5,1021.9,77
702,劳魂,2026-01-06 21:00,-.7,122.5,.6,0,1020.3,1021.7,74
702,劳魂,2026-01-06 22:00,-1.9,49.8,.5,0,1020.5,1021.9,78
702,劳魂,2026-01-06 23:00,-2.1,0,0,0,1020.6,1022,81
702,劳魂,2026-01-07 00:00,-2.3,0,0,0,1019.9,1021.3,84
702,劳魂,2026-01-07 01:00,-1.1,0,0,0,1019.4,1020.8,70
702,劳魂,2026-01-07 02:00,-.7,0,0,0,1019,1020.4,68
702,劳魂,2026-01-07 03:00,-.4,54.6,1.5,0,1018.5,1019.9,73
702,劳魂,2026-01-07 04:00,-.1,0,.1,0,1018.2,1019.6,73
702,劳魂,2026-01-07 05:00,.2,0,.2,0,1017.9,1019.3,76
702,劳魂,2026-01-07 06:00,-1.3,0,.4,0,1017.8,1019.2,81
702,劳魂,2026-01-07 07:00,-2.1,0,0,0,1018.3,1019.7,86
702,劳魂,2026-01-07 08:00,-1.8,0,0,0,1018.5,1019.9,85
702,劳魂,2026-01-07 09:00,-1.4,0,0,0,1018.9,1020.3,88
702,劳魂,2026-01-07 10:00,.7,0,0,0,1019,1020.4,86
702,劳魂,2026-01-07 11:00,4.5,244.8,1.7,0,1019.1,1020.5,77
702,劳魂,2026-01-07 12:00,6.3,291.2,5.5,0,1018.9,1020.3,46
702,劳魂,2026-01-07 13:00,5.7,298.1,5.6,0,1019,1020.4,55
702,劳魂,2026-01-07 14:00,4.8,277.9,8,0,1019.3,1020.7,56
702,劳魂,2026-01-07 15:00,4,287.7,5.9,0,1019.6,1021,55
702,劳魂,2026-01-07 16:00,3.5,286.3,5.5,0,1020,1021.4,58
702,劳魂,2026-01-07 17:00,2.4,281.8,5.1,0,1020.6,1022,59
702,劳魂,2026-01-07 18:00,1.2,282.5,4.7,0,1021.4,1022.8,64
702,劳魂,2026-01-07 19:00,.7,296.3,3,0,1022.2,1023.6,65
702,劳魂,2026-01-07 20:00,.1,287.6,2.9,0,1022.7,1024.1,69
702,劳魂,2026-01-07 21:00,-.2,307,2.7,0,1023.2,1024.6,69
702,劳魂,2026-01-07 22:00,-.3,308.6,4.2,0,1023.6,1025,67
702,劳魂,2026-01-07 23:00,-1,323.7,2.6,0,1024,1025.4,65
702,劳魂,2026-01-08 00:00,-1.5,321.9,2.7,0,1024.1,1025.5,61
702,劳魂,2026-01-08 01:00,-2.1,334,2.4,0,1024.2,1025.6,62
702,劳魂,2026-01-08 02:00,-2.6,348.4,2.3,0,1024.6,1026,59
702,劳魂,2026-01-08 03:00,-3,9.2,2.8,0,1025.1,1026.5,57
702,劳魂,2026-01-08 04:00,-3.1,356.9,1.8,0,1025.3,1026.7,55
702,劳魂,2026-01-08 05:00,-4,30,1.6,0,1025.4,1026.8,62
702,劳魂,2026-01-08 06:00,-3.7,11,2.2,0,1025.7,1027.1,59
702,劳魂,2026-01-08 07:00,-3.9,321.8,2.6,0,1026.4,1027.8,61
702,劳魂,2026-01-08 08:00,-4.6,318.6,1.1,0,1027.1,1028.5,66
702,劳魂,2026-01-08 09:00,-3.6,33.6,2.8,0,1027.6,1029,61
702,劳魂,2026-01-08 10:00,-2.9,347.5,2.5,0,1027.7,1029.1,52
702,劳魂,2026-01-08 11:00,-2.2,307.7,2.8,0,1027.4,1028.8,48
702,劳魂,2026-01-08 12:00,-1.3,347.7,3.4,0,1026.7,1028.1,39
702,劳魂,2026-01-08 13:00,-.2,280.2,2.8,0,1025.9,1027.3,35
702,劳魂,2026-01-08 14:00,.6,233.6,3.2,0,1025.2,1026.6,42
702,劳魂,2026-01-08 15:00,.9,320.3,2.7,0,1025.2,1026.6,31
702,劳魂,2026-01-08 16:00,.8,238.8,4,0,1025.1,1026.5,46
702,劳魂,2026-01-08 17:00,.2,264,4.6,0,1025.5,1026.9,47
702,劳魂,2026-01-08 18:00,-1,265.5,3.6,0,1025.7,1027.1,48
702,劳魂,2026-01-08 19:00,-1.6,301.1,2.9,0,1026.4,1027.8,49
702,劳魂,2026-01-08 20:00,-2.1,290.3,2.7,0,1026.7,1028.1,52
702,劳魂,2026-01-08 21:00,-5,0,0,0,1026.9,1028.3,71
702,劳魂,2026-01-08 22:00,-6,0,0,0,1026.6,1028,77
702,劳魂,2026-01-08 23:00,-5.9,0,0,0,1026.3,1027.7,75
702,劳魂,2026-01-09 00:00,-5.4,0,0,0,1026.1,1027.5,69
702,劳魂,2026-01-09 01:00,-5.9,,,0,1025.7,1027.1,70
702,劳魂,2026-01-09 02:00,-5.6,,,0,1025.7,1027.1,72
702,劳魂,2026-01-09 03:00,-6.1,,,0,1025.4,1026.8,74
702,劳魂,2026-01-09 04:00,-5.9,,,0,1024.7,1026.1,73
702,劳魂,2026-01-09 05:00,-5.2,,,0,1024,1025.4,74
702,劳魂,2026-01-09 06:00,-4.5,,,0,1023.8,1025.2,74
702,劳魂,2026-01-09 07:00,-5.8,,,0,1023.8,1025.2,77
702,劳魂,2026-01-09 08:00,-6.2,,,0,1023.4,1024.8,78
702,劳魂,2026-01-09 09:00,-3.7,,,0,1023,1024.4,76
702,劳魂,2026-01-09 10:00,-1.7,0,0,0,1022.8,1024.2,74
702,劳魂,2026-01-09 11:00,1.5,0,0,0,1022.6,1024,69
702,劳魂,2026-01-09 12:00,4.3,175.6,1.5,0,1021.1,1022.5,64
702,劳魂,2026-01-09 13:00,5.6,186.7,4.1,0,1019.8,1021.2,61
702,劳魂,2026-01-09 14:00,6.1,208.1,6,0,1018.9,1020.3,60
702,劳魂,2026-01-09 15:00,6,191.1,5.3,0,1018.2,1019.6,62
702,劳魂,2026-01-09 16:00,5.8,193.1,4.5,0,1017.8,1019.2,64
702,劳魂,2026-01-09 17:00,5,177,4.5,0,1017,1018.4,67
702,劳魂,2026-01-09 18:00,3.5,170.4,2.5,0,1016.8,1018.2,71
702,劳魂,2026-01-09 19:00,2.9,163.2,2,0,1016.4,1017.8,73
702,劳魂,2026-01-09 20:00,3.7,151.4,2.8,0,1015.8,1017.2,71
702,劳魂,2026-01-09 21:00,3.6,148.4,3.1,0,1015.1,1016.5,72
702,劳魂,2026-01-09 22:00,1.6,0,0,0,1014.9,1016.3,78
702,劳魂,2026-01-09 23:00,1.3,135.3,1.1,0,1014.1,1015.5,79
702,劳魂,2026-01-10 00:00,.4,245,1,0,1013.7,1015.1,79
702,劳魂,2026-01-10 01:00,.2,63.2,.6,0,1013.1,1014.5,84
702,劳魂,2026-01-10 02:00,2,113.4,1.7,0,1012.4,1013.8,80
702,劳魂,2026-01-10 03:00,2.3,0,.2,0,1011.5,1012.9,83
702,劳魂,2026-01-10 04:00,4.5,198.5,2.9,0,1010.3,1011.7,78
702,劳魂,2026-01-10 05:00,6.3,204.9,5.9,0,1009.4,1010.8,76
702,劳魂,2026-01-10 06:00,7,203.3,6.7,0,1008.8,1010.1,73
702,劳魂,2026-01-10 07:00,7.4,225.4,4,,1008.6,1009.9,74
702,劳魂,2026-01-10 08:00,8,233.2,7.5,0,1008.7,1010,75
702,劳魂,2026-01-10 09:00,7.5,244.7,7.8,0,1009.6,1010.9,70
702,劳魂,2026-01-10 10:00,7.7,258.4,7.6,0,1011.2,1012.5,56
702,劳魂,2026-01-10 11:00,8.3,262.1,8,0,1012,1013.3,59
702,劳魂,2026-01-10 12:00,7,278.9,8.3,0,1012.3,1013.7,58
702,劳魂,2026-01-10 13:00,6.4,269.4,8.1,0,1012.3,1013.7,56
702,劳魂,2026-01-10 14:00,7.2,259.9,6.2,0,1011.8,1013.2,48
702,劳魂,2026-01-10 15:00,5.8,264.9,10.1,0,1012.1,1013.5,50
702,劳魂,2026-01-10 16:00,3,293.8,8.1,0,1013.1,1014.5,74
702,劳魂,2026-01-10 17:00,2.4,272,5,0,1013.6,1015,73
702,劳魂,2026-01-10 18:00,.7,277.4,6.2,0,1014.8,1016.2,82
702,劳魂,2026-01-10 19:00,1.3,289.5,7,0,1015.8,1017.2,57
702,劳魂,2026-01-10 20:00,.3,302.6,6.1,0,1016.7,1018.1,70
702,劳魂,2026-01-10 21:00,0,292.4,4.9,0,1017.2,1018.6,67
702,劳魂,2026-01-10 22:00,-1.2,278.2,4.8,0,1018,1019.4,75
702,劳魂,2026-01-10 23:00,-1.9,298.1,4.6,0,1018.9,1020.3,86
702,劳魂,2026-01-11 00:00,-1.8,296.6,3.8,.1,1019.1,1020.5,75
702,劳魂,2026-01-11 01:00,-1.5,299.7,4,0,1019.5,1020.9,59
702,劳魂,2026-01-11 02:00,-1.9,322,4,0,1020,1021.4,60
702,劳魂,2026-01-11 03:00,-2.8,324.4,2.6,0,1020.2,1021.6,68
702,劳魂,2026-01-11 04:00,-2.8,333.6,4.7,0,1020.4,1021.8,53
702,劳魂,2026-01-11 05:00,-3.7,285.6,2.5,0,1020.8,1022.2,55
702,劳魂,2026-01-11 06:00,-4.2,327.5,.8,0,1021.5,1022.9,56
702,劳魂,2026-01-11 07:00,-6.3,0,0,0,1021.9,1023.3,69
702,劳魂,2026-01-11 08:00,-6,0,.3,0,1022.2,1023.6,67
702,劳魂,2026-01-11 09:00,-4.1,0,.1,0,1023,1024.4,48
702,劳魂,2026-01-11 10:00,-3.6,0,0,0,1024,1025.4,47
702,劳魂,2026-01-11 11:00,-3.4,39.7,1.8,0,1024.2,1025.6,39
702,劳魂,2026-01-11 12:00,-2.4,328.6,1.7,0,1023.7,1025.1,41
702,劳魂,2026-01-11 13:00,-1.6,328.6,1.1,0,1023.1,1024.5,42
702,劳魂,2026-01-11 14:00,-.9,297.3,1.1,0,1022.8,1024.2,43
702,劳魂,2026-01-11 15:00,-.2,318.6,4.1,0,1022.9,1024.3,43
702,劳魂,2026-01-11 16:00,-1.2,300.6,4.8,0,1023.6,1025,47
702,劳魂,2026-01-11 17:00,-1.5,298.9,3.9,0,1023.8,1025.2,52
702,劳魂,2026-01-11 18:00,-2.6,311.8,2.9,0,1024.2,1025.6,58
702,劳魂,2026-01-11 19:00,-3.5,315.5,3.2,0,1025.1,1026.5,60
702,劳魂,2026-01-11 20:00,-4.5,10.3,2.8,0,1025.5,1026.9,63
702,劳魂,2026-01-11 21:00,-6.1,79,.8,0,1025.5,1026.9,69
702,劳魂,2026-01-11 22:00,-6.6,0,0,0,1025.5,1026.9,76
702,劳魂,2026-01-11 23:00,-6.5,0,0,0,1025.4,1026.8,73
702,劳魂,2026-01-12 00:00,-7.1,0,0,0,1024.6,1026,75
702,劳魂,2026-01-12 01:00,-7.6,0,0,0,1024,1025.4,77
702,劳魂,2026-01-12 02:00,-6.6,0,0,0,1024,1025.4,74
702,劳魂,2026-01-12 03:00,-6.6,0,0,0,1024.2,1025.6,76
702,劳魂,2026-01-12 04:00,-6.7,0,0,0,1023.8,1025.2,77
702,劳魂,2026-01-12 05:00,-7.2,0,.2,0,1023.1,1024.5,77
702,劳魂,2026-01-12 06:00,-6.3,0,0,0,1022.7,1024.1,76
702,劳魂,2026-01-12 07:00,-5.7,0,0,0,1022.9,1024.3,75
702,劳魂,2026-01-12 08:00,-5.3,0,0,0,1022.2,1023.6,77
702,劳魂,2026-01-12 09:00,-3.8,0,0,0,1021.6,1023,74
702,劳魂,2026-01-12 10:00,-1.9,0,0,0,1021.3,1022.7,71
702,劳魂,2026-01-12 11:00,0,0,0,0,1020.9,1022.3,70
702,劳魂,2026-01-12 12:00,1,157.4,2.2,0,1019.9,1021.3,68
702,劳魂,2026-01-12 13:00,1.6,181.5,4.5,0,1018.4,1019.8,71
702,劳魂,2026-01-12 14:00,2.4,171.9,3.2,0,1017.3,1018.7,70
702,劳魂,2026-01-12 15:00,3.8,184.6,5.2,0,1015.9,1017.3,65
702,劳魂,2026-01-12 16:00,4.4,174.4,5.5,0,1014.4,1015.8,67
702,劳魂,2026-01-12 17:00,4,165.2,3,0,1013.8,1015.2,67
702,劳魂,2026-01-12 18:00,1.6,131.3,2.9,0,1012.9,1014.3,74
702,劳魂,2026-01-12 19:00,.9,115.7,2.6,0,1012.3,1013.7,77
702,劳魂,2026-01-12 20:00,.9,119.3,1.8,0,1011.8,1013.2,75
702,劳魂,2026-01-12 21:00,1.7,347.2,1.8,0,1011.8,1013.2,74
702,劳魂,2026-01-12 22:00,2.1,102.4,2.4,0,1010.6,1012,76
702,劳魂,2026-01-12 23:00,2.5,73.8,.9,.2,1010,1011.4,81
702,劳魂,2026-01-13 00:00,4.2,220.1,2.6,.4,1010,1011.4,82
702,劳魂,2026-01-13 01:00,4.9,247.3,3.1,0,1010.1,1011.5,83
702,劳魂,2026-01-13 02:00,5.8,268.9,4.7,0,1010.7,1012.1,77
702,劳魂,2026-01-13 03:00,4.7,282.2,3.5,0,1011.4,1012.8,72
702,劳魂,2026-01-13 04:00,4.2,273.4,2.3,0,1011.6,1013,71
702,劳魂,2026-01-13 05:00,2.3,234.1,1.3,0,1011.7,1013.1,74
702,劳魂,2026-01-13 06:00,1.1,247.6,1.7,0,1012.4,1013.8,81
702,劳魂,2026-01-13 07:00,-.8,298.9,.9,0,1013.4,1014.8,86
702,劳魂,2026-01-13 08:00,2,291.4,2.3,0,1014.5,1015.9,74
702,劳魂,2026-01-13 09:00,2.2,302.5,4.3,0,1016,1017.4,66
702,劳魂,2026-01-13 10:00,2.7,330.5,3.9,0,1017.1,1018.5,49
702,劳魂,2026-01-13 11:00,3.1,341.4,2.5,0,1017.5,1018.9,43
702,劳魂,2026-01-13 12:00,4.1,294.3,4.1,0,1017.3,1018.7,48
702,劳魂,2026-01-13 13:00,4.3,272.6,5.5,0,1017.1,1018.5,46
702,劳魂,2026-01-13 14:00,4.4,287.2,5.4,0,1017.1,1018.5,49
702,劳魂,2026-01-13 15:00,3.8,306.2,5.2,0,1017.9,1019.3,50
702,劳魂,2026-01-13 16:00,1.9,280.8,7,0,1018.5,1019.9,53
702,劳魂,2026-01-13 17:00,1,276.5,4.4,0,1018.6,1020,60
702,劳魂,2026-01-13 18:00,0,272.5,3.7,0,1019.7,1021.1,65
702,劳魂,2026-01-13 19:00,-.6,278,4,0,1020.5,1021.9,66
702,劳魂,2026-01-13 20:00,-1.3,299.3,2.6,0,1021,1022.4,68
702,劳魂,2026-01-13 21:00,-1.6,0,0,0,1021.4,1022.8,66
702,劳魂,2026-01-13 22:00,-1.9,0,0,0,1021.7,1023.1,66
702,劳魂,2026-01-13 23:00,-3.6,0,0,0,1021.9,1023.3,73
702,劳魂,2026-01-14 00:00,-4.7,0,0,0,1022.3,1023.7,76
702,劳魂,2026-01-14 01:00,-6.2,,,0,1022.2,1023.6,83
702,劳魂,2026-01-14 02:00,-7,,,0,1022.5,1023.9,85
702,劳魂,2026-01-14 03:00,-6.8,,,0,1023.2,1024.6,85
702,劳魂,2026-01-14 04:00,-7.3,,,0,1023.3,1024.7,86
702,劳魂,2026-01-14 05:00,-6.7,,,0,1023.2,1024.6,78
702,劳魂,2026-01-14 06:00,-7.7,,,0,1023,1024.4,84
702,劳魂,2026-01-14 07:00,-6.7,,,0,1023.2,1024.6,78
702,劳魂,2026-01-14 08:00,-7.6,,,0,1023.5,1024.9,83
702,劳魂,2026-01-14 09:00,-4.6,,,0,1023.5,1024.9,77
702,劳魂,2026-01-14 10:00,-2.4,,,0,1023.5,1024.9,63
702,劳魂,2026-01-14 11:00,.2,79.3,,0,1023.2,1024.6,44
702,劳魂,2026-01-14 12:00,2.2,46.6,1.2,0,1022.2,1023.6,28
702,劳魂,2026-01-14 13:00,3.1,320.6,1.3,0,1021.5,1022.9,36
702,劳魂,2026-01-14 14:00,3.7,307.1,.8,0,1021.2,1022.6,36
702,劳魂,2026-01-14 15:00,4.3,98.3,1.7,0,1019.9,1021.3,34
702,劳魂,2026-01-14 16:00,5,53.9,1.5,0,1019.2,1020.6,37
